newsgroup,document_id
talk.religion.misc,83519
talk.religion.misc,83520
talk.religion.misc,83522
talk.religion.misc,83523
talk.religion.misc,83524
talk.religion.misc,83525
talk.religion.misc,83526
talk.religion.misc,83527
talk.religion.misc,83528
talk.religion.misc,83529
talk.religion.misc,83535
talk.religion.misc,83544
talk.religion.misc,83547
talk.religion.misc,83558
talk.religion.misc,83561
talk.religion.misc,83562
talk.religion.misc,83568
talk.religion.misc,83572
talk.religion.misc,83581
talk.religion.misc,83582
talk.religion.misc,83585
talk.religion.misc,83586
talk.religion.misc,83587
talk.religion.misc,83591
talk.religion.misc,83592
talk.religion.misc,83593
talk.religion.misc,83594
talk.religion.misc,83601
talk.religion.misc,83602
talk.religion.misc,83608
talk.religion.misc,83609
talk.religion.misc,83610
talk.religion.misc,83614
talk.religion.misc,83617
talk.religion.misc,83620
talk.religion.misc,83621
talk.religion.misc,83622
talk.religion.misc,83623
talk.religion.misc,83624
talk.religion.misc,83627
talk.religion.misc,83629
talk.religion.misc,83630
talk.religion.misc,83642
talk.religion.misc,83643
talk.religion.misc,83646
talk.religion.misc,83650
talk.religion.misc,83651
talk.religion.misc,83658
talk.religion.misc,83659
talk.religion.misc,83660
talk.religion.misc,83661
talk.religion.misc,83662
talk.religion.misc,83668
talk.religion.misc,83669
talk.religion.misc,83670
talk.religion.misc,83671
talk.religion.misc,83672
talk.religion.misc,83673
talk.religion.misc,83674
talk.religion.misc,83677
talk.religion.misc,83680
talk.religion.misc,83681
talk.religion.misc,83686
talk.religion.misc,83687
talk.religion.misc,83688
talk.religion.misc,83689
talk.religion.misc,83690
talk.religion.misc,83691
talk.religion.misc,83701
talk.religion.misc,83704
talk.religion.misc,83705
talk.religion.misc,83706
talk.religion.misc,83708
talk.religion.misc,83711
talk.religion.misc,83713
talk.religion.misc,83714
talk.religion.misc,83719
talk.religion.misc,83722
talk.religion.misc,83725
talk.religion.misc,83727
talk.religion.misc,83728
talk.religion.misc,83729
talk.religion.misc,83732
talk.religion.misc,83736
talk.religion.misc,83738
talk.religion.misc,83740
talk.religion.misc,83741
talk.religion.misc,83744
talk.religion.misc,83745
talk.religion.misc,83776
talk.religion.misc,83777
talk.religion.misc,83781
talk.religion.misc,83783
talk.religion.misc,83786
talk.religion.misc,83788
talk.religion.misc,83789
talk.religion.misc,83790
talk.religion.misc,83795
talk.religion.misc,83798
talk.religion.misc,83799
talk.religion.misc,83800
talk.religion.misc,83801
talk.religion.misc,83803
talk.religion.misc,83805
talk.religion.misc,83807
talk.religion.misc,83808
talk.religion.misc,83811
talk.religion.misc,83812
talk.religion.misc,83816
talk.religion.misc,83817
talk.religion.misc,83818
talk.religion.misc,83823
talk.religion.misc,83827
talk.religion.misc,83828
talk.religion.misc,83829
talk.religion.misc,83830
talk.religion.misc,83835
talk.religion.misc,83841
talk.religion.misc,83842
talk.religion.misc,83843
talk.religion.misc,83844
talk.religion.misc,83845
talk.religion.misc,83846
talk.religion.misc,83847
talk.religion.misc,83848
talk.religion.misc,83849
talk.religion.misc,83852
talk.religion.misc,83855
talk.religion.misc,83856
talk.religion.misc,83860
talk.religion.misc,83863
talk.religion.misc,83867
talk.religion.misc,83876
talk.religion.misc,83880
talk.religion.misc,83882
talk.religion.misc,83884
talk.religion.misc,83885
talk.religion.misc,83891
talk.religion.misc,83892
talk.religion.misc,83895
talk.religion.misc,83897
talk.religion.misc,83899
talk.religion.misc,83900
talk.religion.misc,83901
talk.religion.misc,83902
talk.religion.misc,83905
talk.religion.misc,83907
talk.religion.misc,83910
talk.religion.misc,83911
talk.religion.misc,83913
talk.religion.misc,83915
talk.religion.misc,83918
talk.religion.misc,83919
talk.religion.misc,83922
talk.religion.misc,83929
talk.religion.misc,83931
talk.religion.misc,83932
talk.religion.misc,83934
talk.religion.misc,83936
talk.religion.misc,83937
talk.religion.misc,83943
talk.religion.misc,83944
talk.religion.misc,83957
talk.religion.misc,83967
talk.religion.misc,83968
talk.religion.misc,83971
talk.religion.misc,83972
talk.religion.misc,83974
talk.religion.misc,83975
talk.religion.misc,83976
talk.religion.misc,83977
talk.religion.misc,83978
talk.religion.misc,83979
talk.religion.misc,83980
talk.religion.misc,83983
talk.religion.misc,83985
talk.religion.misc,83986
talk.religion.misc,83992
talk.religion.misc,83994
talk.religion.misc,83995
talk.religion.misc,83998
talk.religion.misc,83999
talk.religion.misc,84004
talk.religion.misc,84006
talk.religion.misc,84007
talk.religion.misc,84008
talk.religion.misc,84009
talk.religion.misc,84011
talk.religion.misc,84014
talk.religion.misc,84015
talk.religion.misc,84018
talk.religion.misc,84019
talk.religion.misc,84020
talk.religion.misc,84021
talk.religion.misc,84022
talk.religion.misc,84023
talk.religion.misc,84024
talk.religion.misc,84025
talk.religion.misc,84033
talk.religion.misc,84042
talk.religion.misc,84043
talk.religion.misc,84047
talk.religion.misc,84048
talk.religion.misc,84052
talk.religion.misc,84053
talk.religion.misc,84054
talk.religion.misc,84055
talk.religion.misc,84056
talk.religion.misc,84057
talk.religion.misc,84058
talk.religion.misc,84059
talk.religion.misc,84060
talk.religion.misc,84061
talk.religion.misc,84062
talk.religion.misc,84063
talk.religion.misc,84064
talk.religion.misc,84065
talk.religion.misc,84066
talk.religion.misc,84067
talk.religion.misc,84069
talk.religion.misc,84070
talk.religion.misc,84071
talk.religion.misc,84072
talk.religion.misc,84073
talk.religion.misc,84074
talk.religion.misc,84075
talk.religion.misc,84076
talk.religion.misc,84077
talk.religion.misc,84078
talk.religion.misc,84079
talk.religion.misc,84080
talk.religion.misc,84081
talk.religion.misc,84082
talk.religion.misc,84083
talk.religion.misc,84084
talk.religion.misc,84085
talk.religion.misc,84086
talk.religion.misc,84087
talk.religion.misc,84091
talk.religion.misc,84092
talk.religion.misc,84096
talk.religion.misc,84097
talk.religion.misc,84098
talk.religion.misc,84099
talk.religion.misc,84100
talk.religion.misc,84101
talk.religion.misc,84105
talk.religion.misc,84106
talk.religion.misc,84113
talk.religion.misc,84120
talk.religion.misc,84121
talk.religion.misc,84122
talk.religion.misc,84123
talk.religion.misc,84124
talk.religion.misc,84125
talk.religion.misc,84127
talk.religion.misc,84128
talk.religion.misc,84129
talk.religion.misc,84130
talk.religion.misc,84131
talk.religion.misc,84132
talk.religion.misc,84133
talk.religion.misc,84134
talk.religion.misc,84135
talk.religion.misc,84136
talk.religion.misc,84137
talk.religion.misc,84138
talk.religion.misc,84139
talk.religion.misc,84140
talk.religion.misc,84141
talk.religion.misc,84142
talk.religion.misc,84143
talk.religion.misc,84144
talk.religion.misc,84145
talk.religion.misc,84146
talk.religion.misc,84147
talk.religion.misc,84148
talk.religion.misc,84149
talk.religion.misc,84150
talk.religion.misc,84151
talk.religion.misc,84152
talk.religion.misc,84153
talk.religion.misc,84156
talk.religion.misc,84157
talk.religion.misc,84158
talk.religion.misc,84159
talk.religion.misc,84164
talk.religion.misc,84165
talk.religion.misc,84169
talk.religion.misc,84170
talk.religion.misc,84174
talk.religion.misc,84175
talk.religion.misc,84178
talk.religion.misc,84182
talk.religion.misc,84183
talk.religion.misc,84184
talk.religion.misc,84185
talk.religion.misc,84186
talk.religion.misc,84187
talk.religion.misc,84188
talk.religion.misc,84189
talk.religion.misc,84190
talk.religion.misc,84192
talk.religion.misc,84193
talk.religion.misc,84194
talk.religion.misc,84195
talk.religion.misc,84196
talk.religion.misc,84197
talk.religion.misc,84198
talk.religion.misc,84199
talk.religion.misc,84200
talk.religion.misc,84201
talk.religion.misc,84202
talk.religion.misc,84203
talk.religion.misc,84204
talk.religion.misc,84205
talk.religion.misc,84206
talk.religion.misc,84207
talk.religion.misc,84208
talk.religion.misc,84209
talk.religion.misc,84210
talk.religion.misc,84211
talk.religion.misc,84212
talk.religion.misc,84213
talk.religion.misc,84214
talk.religion.misc,84215
talk.religion.misc,84216
talk.religion.misc,84217
talk.religion.misc,84218
talk.religion.misc,84219
talk.religion.misc,84220
talk.religion.misc,84221
talk.religion.misc,84222
talk.religion.misc,84223
talk.religion.misc,84224
talk.religion.misc,84225
talk.religion.misc,84226
talk.religion.misc,84227
talk.religion.misc,84228
talk.religion.misc,84229
talk.religion.misc,84230
talk.religion.misc,84231
talk.religion.misc,84232
talk.religion.misc,84233
talk.religion.misc,84234
talk.religion.misc,84235
talk.religion.misc,84236
talk.religion.misc,84237
talk.religion.misc,84238
talk.religion.misc,84239
talk.religion.misc,84240
talk.religion.misc,84241
talk.religion.misc,84242
talk.religion.misc,84243
talk.religion.misc,84244
talk.religion.misc,84245
talk.religion.misc,84246
talk.religion.misc,84247
talk.religion.misc,84248
talk.religion.misc,84249
talk.religion.misc,84250
talk.religion.misc,84251
talk.religion.misc,84252
talk.religion.misc,84253
talk.religion.misc,84254
talk.religion.misc,84255
talk.religion.misc,84256
talk.religion.misc,84257
talk.religion.misc,84258
talk.religion.misc,84259
talk.religion.misc,84260
talk.religion.misc,84261
talk.religion.misc,84262
talk.religion.misc,84263
talk.religion.misc,84264
talk.religion.misc,84265
talk.religion.misc,84266
talk.religion.misc,84267
talk.religion.misc,84268
talk.religion.misc,84269
talk.religion.misc,84270
talk.religion.misc,84271
talk.religion.misc,84272
talk.religion.misc,84273
talk.religion.misc,84274
talk.religion.misc,84275
talk.religion.misc,84276
talk.religion.misc,84277
talk.religion.misc,84278
talk.religion.misc,84279
talk.religion.misc,84280
talk.religion.misc,84281
talk.religion.misc,84282
talk.religion.misc,84283
talk.religion.misc,84284
talk.religion.misc,84285
talk.religion.misc,84286
talk.religion.misc,84288
talk.religion.misc,84289
talk.religion.misc,84290
talk.religion.misc,84291
talk.religion.misc,84292
talk.religion.misc,84293
talk.religion.misc,84294
talk.religion.misc,84295
talk.religion.misc,84296
talk.religion.misc,84297
talk.religion.misc,84298
talk.religion.misc,84299
talk.religion.misc,84300
talk.religion.misc,84301
talk.religion.misc,84302
talk.religion.misc,84303
talk.religion.misc,84304
talk.religion.misc,84305
talk.religion.misc,84306
talk.religion.misc,84307
talk.religion.misc,84308
talk.religion.misc,84309
talk.religion.misc,84310
talk.religion.misc,84311
talk.religion.misc,84312
talk.religion.misc,84313
talk.religion.misc,84314
talk.religion.misc,84315
talk.religion.misc,84316
talk.religion.misc,84319
talk.religion.misc,84320
talk.religion.misc,84321
talk.religion.misc,84323
talk.religion.misc,84324
talk.religion.misc,84325
talk.religion.misc,84326
talk.religion.misc,84327
talk.religion.misc,84328
talk.religion.misc,84329
talk.religion.misc,84331
talk.religion.misc,84332
talk.religion.misc,84334
talk.religion.misc,84336
talk.religion.misc,84338
talk.religion.misc,84339
talk.religion.misc,84340
talk.religion.misc,84341
talk.religion.misc,84342
talk.religion.misc,84343
talk.religion.misc,84344
talk.religion.misc,84345
talk.religion.misc,84346
talk.religion.misc,84347
talk.religion.misc,84348
talk.religion.misc,84349
talk.religion.misc,84350
talk.religion.misc,84351
talk.religion.misc,84352
talk.religion.misc,84353
talk.religion.misc,84354
talk.religion.misc,84357
talk.religion.misc,84358
talk.religion.misc,84360
talk.religion.misc,84380
talk.religion.misc,84395
talk.religion.misc,84396
talk.religion.misc,84397
talk.religion.misc,84398
talk.religion.misc,84399
talk.religion.misc,84401
talk.religion.misc,84414
talk.religion.misc,84422
talk.religion.misc,84423
talk.religion.misc,84428
talk.religion.misc,84429
talk.religion.misc,84430
talk.religion.misc,84431
talk.religion.misc,84433
talk.religion.misc,84434
talk.religion.misc,84435
talk.religion.misc,84436
talk.religion.misc,84437
talk.religion.misc,84438
talk.religion.misc,84439
talk.religion.misc,84440
talk.religion.misc,84441
talk.religion.misc,84442
talk.religion.misc,84443
talk.religion.misc,84444
talk.religion.misc,84445
talk.religion.misc,84446
talk.religion.misc,84447
talk.religion.misc,84448
talk.religion.misc,84449
talk.religion.misc,84450
talk.religion.misc,84451
talk.religion.misc,84452
talk.religion.misc,84506
talk.religion.misc,84507
talk.religion.misc,84508
talk.religion.misc,84509
talk.religion.misc,84510
talk.religion.misc,84511
talk.religion.misc,84538
talk.religion.misc,84552
talk.religion.misc,84553
talk.religion.misc,84554
talk.religion.misc,84555
talk.religion.misc,84557
talk.religion.misc,84558
talk.religion.misc,84559
talk.religion.misc,84560
talk.religion.misc,84562
talk.religion.misc,84563
talk.religion.misc,84564
talk.religion.misc,84565
talk.religion.misc,84568
talk.religion.misc,84569
talk.religion.misc,84570
